03-25-2020 20:03:00.967 INFO  UserManager - Unwound user context: splunk-system-user -> NULL
03-25-2020 20:03:00.967 INFO  UserManager - Setting user context: splunk-system-user
03-25-2020 20:03:00.967 INFO  UserManager - Done setting user context: NULL -> splunk-system-user
03-25-2020 20:03:00.967 INFO  SearchOperator:rest - in RestProcessor::execute
03-25-2020 20:03:00.967 INFO  ProxyConfig - Failed to initialize http_proxy from server.conf for splunkd. Please make sure that the http_proxy property is set as http_proxy=http://host:port in case HTTP proxying needs to be enabled.
03-25-2020 20:03:00.967 INFO  ProxyConfig - Failed to initialize https_proxy from server.conf for splunkd. Please make sure that the https_proxy property is set as https_proxy=http://host:port in case HTTP proxying needs to be enabled.
03-25-2020 20:03:00.967 INFO  ProxyConfig - Failed to initialize the no_proxy setting from server.conf for splunkd. Please provide a valid set of no_proxy rules in case HTTP proxying needs to be enabled.
03-25-2020 20:03:00.981 INFO  UserManager - Unwound user context: splunk-system-user -> NULL
03-25-2020 20:03:00.981 INFO  UserManager - Unwound user context: splunk-system-user -> NULL
03-25-2020 20:03:00.981 INFO  UserManager - Unwound user context: splunk-system-user -> NULL
03-25-2020 20:03:00.981 INFO  UserManager - Unwound user context: splunk-system-user -> NULL
03-25-2020 20:03:00.981 INFO  UserManager - Unwound user context: splunk-system-user -> NULL
03-25-2020 20:03:00.982 INFO  UserManager - Unwound user context: splunk-system-user -> NULL
03-25-2020 20:03:00.990 INFO  UserManager - Unwound user context: splunk-system-user -> NULL
03-25-2020 20:03:00.992 INFO  UserManager - Setting user context: splunk-system-user
03-25-2020 20:03:00.992 INFO  UserManager - Done setting user context: NULL -> splunk-system-user
03-25-2020 20:03:00.992 INFO  UserManager - Unwound user context: splunk-system-user -> NULL
03-25-2020 20:03:00.992 INFO  DispatchManager - DispatchManager::dispatchHasFinished(id='subsearch_tmp_1585184580.1', username='splunk-system-user')
03-25-2020 20:03:00.993 INFO  UnifiedSearch - Processed search targeting arguments
03-25-2020 20:03:00.994 INFO  ISplunkDispatch - Not running in splunkd. Bundle replication not triggered.
03-25-2020 20:03:00.997 INFO  UserManager - Setting user context: splunk-system-user
03-25-2020 20:03:00.997 INFO  UserManager - Done setting user context: NULL -> splunk-system-user
03-25-2020 20:03:00.997 INFO  SearchOperator:rest - built uri=/services/licenser/stacks?count=0, server=https://127.0.0.1:8089
03-25-2020 20:03:00.997 INFO  SearchParser - PARSING: prerest splunk_server_group="dmc_group_license_master" timeout=60 "/services/licenser/stacks?count=0"
03-25-2020 20:03:00.997 INFO  SearchOperator:rest - built uri=/services/licenser/stacks?count=0, server=https://127.0.0.1:8089
03-25-2020 20:03:00.997 INFO  DispatchThread - BatchMode: allowBatchMode: 1, conf(1): 1, timeline/Status buckets(0):0, realtime(0):0, report pipe empty(0):0, reqTimeOrder(0):0, summarize(0):0, statefulStreaming(0):0
03-25-2020 20:03:00.997 INFO  DispatchThread - required fields list to add to remote search = *
03-25-2020 20:03:00.998 INFO  DispatchCommandProcessor - summaryHash=3715e1b006baae6f summaryId=D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD_splunk_monitoring_console_nobody_3715e1b006baae6f remoteSearch=prerest  splunk_server_group="dmc_group_license_master" timeout=60 "/services/licenser/stacks?count=0"
03-25-2020 20:03:00.998 INFO  DispatchCommandProcessor - summaryHash=NS861c7f36d79351a0 summaryId=D3EF2C1D-BF4D-4D80-BAF3-75A79C4403BD_splunk_monitoring_console_nobody_NS861c7f36d79351a0 remoteSearch=prerest splunk_server_group="dmc_group_license_master" timeout=60 "/services/licenser/stacks?count=0"
03-25-2020 20:03:00.998 INFO  DispatchThread - Getting summary ID for summaryHash=NS861c7f36d79351a0
03-25-2020 20:03:00.998 INFO  DispatchThread - Matches no summary
03-25-2020 20:03:00.998 INFO  DispatchThread - SrchOptMetrics check_query_matches_ra=0.000524692
03-25-2020 20:03:00.998 INFO  AstOptimizer - Original Search = rest splunk_server_group=dmc_group_license_master /services/licenser/stacks | eval stack_id=title | eval stack_quota=quota | fields splunk_server stack_id stack_quota
03-25-2020 20:03:00.998 INFO  SearchParser - PARSING: rest splunk_server_group=dmc_group_license_master /services/licenser/stacks | eval stack_id=title | eval stack_quota=quota | fields splunk_server stack_id stack_quota
